candidate_id,rank,score,reasoning
CAND_0008425,1,0.95,Top-tier AI Engineer with 7.8 years of experience. Demonstrated production success in embeddings/retrieval and vector databases at Ola. Outstanding availability and response rates on the platform.
CAND_0039754,2,0.913,"Excellent match with 16.2 years of experience. Proven expertise in vector databases and Python engineering at Meta, backed by strong recruiter engagement and high responsiveness."
CAND_0046064,3,0.906,"Outstanding candidate with 8.9 years of experience as a Senior NLP Engineer at Salesforce. Strong background in embeddings/retrieval and vector databases matching JD requirements, combined with high platform activity."
CAND_0061257,4,0.885,"Excellent match with 8.0 years of experience. Proven expertise in embeddings/retrieval and Python engineering at LinkedIn, backed by strong recruiter engagement and high responsiveness."
CAND_0068351,5,0.883,"Outstanding candidate with 6.4 years of experience as a Lead AI Engineer at Sarvam AI. Strong background in embeddings/retrieval and vector databases matching JD requirements, combined with high platform activity."
CAND_0046525,6,0.865,Perfect founding team fit with 6.1 years of experience. Shipped embeddings/retrieval and vector databases at Genpact AI. Highly active platform indicators verify readiness for immediate contribution.
CAND_0071974,7,0.863,"Outstanding candidate with 7.8 years of experience as a Senior AI Engineer at Netflix. Strong background in embeddings/retrieval and vector databases matching JD requirements, combined with high platform activity."
CAND_0081846,8,0.847,Top-tier AI Engineer with 6.7 years of experience. Demonstrated production success in embeddings/retrieval and vector databases at Razorpay. Outstanding availability and response rates on the platform.
CAND_0005260,9,0.838,"Outstanding candidate with 5.2 years of experience as a Senior NLP Engineer at Netflix. Strong background in embeddings/retrieval and Python engineering matching JD requirements, combined with high platform activity."
CAND_0080766,10,0.837,Perfect founding team fit with 8.8 years of experience. Shipped embeddings/retrieval and vector databases at Salesforce. Highly active platform indicators verify readiness for immediate contribution.
CAND_0018499,11,0.831,"Strong Senior Machine Learning Engineer with 7.2 years of experience, showing solid skills in embeddings/retrieval and vector databases at Zomato. Excellent platform engagement signals."
CAND_0086022,12,0.824,Competent Senior Applied Scientist with 5.3 years of experience at Sarvam AI. Possesses strong hands-on skills in embeddings/retrieval and vector databases and excellent activity indicators.
CAND_0011687,13,0.814,Competent Senior NLP Engineer with 7.8 years of experience at Niramai. Possesses strong hands-on skills in embeddings/retrieval and vector databases and excellent activity indicators.
CAND_0088025,14,0.813,"Strong Staff Machine Learning Engineer with 8.6 years of experience, showing solid skills in embeddings/retrieval and vector databases at Yellow.ai. Excellent platform engagement signals."
CAND_0093193,15,0.812,Experienced AI specialist (7.9 yrs YoE) with proven competence in embeddings/retrieval and vector databases. Strong past work at Niramai and high recruitment responsiveness.
CAND_0005538,16,0.808,"Strong Senior AI Engineer with 5.9 years of experience, showing solid skills in embeddings/retrieval and Python engineering at Adobe. Excellent platform engagement signals."
CAND_0002025,17,0.795,"Promising match with 5.9 years in the field. Solid technical foundations in embeddings/retrieval and vector databases developed at Apple, backed by strong availability."
CAND_0055905,18,0.789,Experienced AI specialist (8.1 yrs YoE) with proven competence in embeddings/retrieval and vector databases. Strong past work at Flipkart and high recruitment responsiveness.
CAND_0077337,19,0.776,"Promising match with 7.0 years in the field. Solid technical foundations in embeddings/retrieval and vector databases developed at Paytm, backed by strong availability."
CAND_0037980,20,0.775,"Promising match with 9.0 years in the field. Solid technical foundations in embeddings/retrieval and Python engineering developed at Niramai, backed by strong availability."
CAND_0006567,21,0.771,Competent Senior AI Engineer with 7.9 years of experience at Meta. Possesses strong hands-on skills in Python engineering and search/ranking systems and excellent activity indicators.
CAND_0065195,22,0.752,"Strong Search Engineer with 5.1 years of experience, showing solid skills in embeddings/retrieval and vector databases at CRED. Excellent platform engagement signals."
CAND_0033861,23,0.748,"Strong Senior NLP Engineer with 8.0 years of experience, showing solid skills in embeddings/retrieval and vector databases at Mad Street Den. Excellent platform engagement signals."
CAND_0076831,24,0.728,"Promising match with 4.0 years in the field. Solid technical foundations in vector databases and Python engineering developed at Krutrim, backed by strong availability."
CAND_0072232,25,0.726,"Strong ML Engineer with 4.0 years of experience, showing solid skills in embeddings/retrieval and Python engineering at Yellow.ai. Excellent platform engagement signals."
CAND_0083879,26,0.722,"Promising match with 7.1 years in the field. Solid technical foundations in embeddings/retrieval and vector databases developed at Ola, backed by strong availability."
CAND_0006418,27,0.718,"Strong Machine Learning Engineer with 5.7 years of experience, showing solid skills in embeddings/retrieval and vector databases at Verloop.io. Excellent platform engagement signals."
CAND_0045250,28,0.717,"Strong Applied ML Engineer with 6.6 years of experience, showing solid skills in embeddings/retrieval and vector databases at Rephrase.ai. Excellent platform engagement signals."
CAND_0081852,29,0.716,"Promising match with 5.9 years in the field. Solid technical foundations in embeddings/retrieval and vector databases developed at Mad Street Den, backed by strong availability."
CAND_0010541,30,0.715,Experienced AI specialist (6.2 yrs YoE) with proven competence in vector databases and Python engineering. Strong past work at Wysa and high recruitment responsiveness.
CAND_0005649,31,0.714,"Plausible candidate with 7.4 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to notice period is relatively long (90 days)."
CAND_0040178,32,0.713,"Adjacent fit as a ML Engineer with 5.0 years of experience. Strong in vector databases and Python engineering, though notice period is relatively long (60 days)."
CAND_0074325,33,0.709,"Plausible candidate with 3.9 years of experience and skills in embeddings/retrieval and vector databases, but ranking is deferred due to relocation is required from Gurgaon, Haryana."
CAND_0029367,34,0.708,"Competent engineer with 5.7 years of experience. Possesses adjacent skills in embeddings/retrieval and vector databases, but ranking is tempered by notice period is relatively long (90 days)."
